Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY
ID100045,100045,9,34.55,61.823,45.252,0,0,0,0.25,1
ID100180,100180,36,55.548,71.28,32.303,0,0,0,0.25,1
ID100570,100570,114,30.932,49.179,36.201,0,0,0,0.25,1
ID101174,101174,227,29.744,27.593,30.474,0,0,0,0.25,1
ID101606,101606,299,69.862,76.543,7.335,0,0,0,0.25,1
ID101720,101720,318,55.741,35.296,15.742,0,0,0,0.25,1
ID102159,102159,384,61.482,57.314,5.311,0,0,0,0.25,1
ID103404,103404,552,63.719,50.33,51.363,0,0,0,0.25,1
ID103532,103532,568,43.121,57.944,27.83,0,0,0,0.25,1
ID105856,105856,821,44.203,14.595,2.039,0,0,0,0.25,1
ID105966,105966,832,59.509,49.253,54.203,0,0,0,0.25,1
ID106505,106505,883,32.54,20.706,3.446,0,0,0,0.25,1
ID110530,110530,1207,24.79,65.624,2.901,0,0,0,0.25,1
ID117318,117318,1608,45.769,55.492,10.924,0,0,0,0.25,1
ID123224,123224,1869,62.93,36.581,45.13,0,0,0,0.25,1
ID124251,124251,1909,33.694,69.106,34.275,0,0,0,0.25,1
ID128222,128222,2051,61.639,49.467,53.368,0,0,0,0.25,1
ID129422,129422,2091,73.11,30.607,37.667,0,0,0,0.25,1
ID140402,140402,2457,30.163,62.016,6.682,0,0,0,0.25,1
ID143342,143342,2555,36.306,51.589,41.797,0,0,0,0.25,1
ID100046,100046,9,56.603,61.949,45.262,0,20,1,0.25,1
ID100181,100181,36,26.093,71.286,32.311,0,20,1,0.25,1
ID100210,100210,42,72.949,57.795,9.013,0,20,1,0.25,1
ID100571,100571,114,31.767,49.21,36.295,0,20,1,0.25,1
ID101168,101168,226,46.806,32.828,4.262,0,20,1,0.25,1
ID101175,101175,227,50.102,27.659,30.485,0,20,1,0.25,1
ID101607,101607,299,74.169,76.52,7.361,0,20,1,0.25,1
ID101721,101721,318,67.38,35.289,15.734,0,20,1,0.25,1
ID102040,102040,367,22.396,14.095,43.589,0,20,1,0.25,1
ID102160,102160,384,54.443,57.301,5.325,0,20,1,0.25,1
ID102544,102544,439,39.965,15.239,39.611,0,20,1,0.25,1
ID103405,103405,552,47.689,50.269,51.375,0,20,1,0.25,1
ID103533,103533,568,66.242,57.91,27.837,0,20,1,0.25,1
ID103652,103652,583,41.392,30.307,47.995,0,20,1,0.25,1
ID105116,105116,747,22.707,15.46,16.896,0,20,1,0.25,1
ID105857,105857,821,53.394,14.669,2.098,0,20,1,0.25,1
ID105946,105946,830,45.578,29.286,53.427,0,20,1,0.25,1
ID105967,105967,832,72.534,49.264,54.205,0,20,1,0.25,1
ID106483,106483,881,56.274,74.511,25.424,0,20,1,0.25,1
ID106506,106506,883,22.714,20.71,3.45,0,20,1,0.25,1
ID107220,107220,948,48.908,19.919,46.706,0,20,1,0.25,1
ID110531,110531,1207,56.298,65.63,2.975,0,20,1,0.25,1
ID111907,111907,1301,35.753,72.41,2.253,0,20,1,0.25,1
ID116698,116698,1577,24.409,78.227,16.587,0,20,1,0.25,1
ID117319,117319,1608,70.66,55.491,10.97,0,20,1,0.25,1
ID123225,123225,1869,50.536,36.564,45.156,0,20,1,0.25,1
ID124252,124252,1909,24.892,69.07,34.296,0,20,1,0.25,1
ID127332,127332,2021,21.091,37.27,34.471,0,20,1,0.25,1
ID127982,127982,2043,20.558,20.04,32.159,0,20,1,0.25,1
ID128223,128223,2051,74.512,49.409,53.404,0,20,1,0.25,1
ID129423,129423,2091,30.444,30.615,37.697,0,20,1,0.25,1
ID132542,132542,2195,44.224,30.569,25.555,0,20,1,0.25,1
ID134012,134012,2244,46.53,30.26,17.979,0,20,1,0.25,1
ID135452,135452,2292,66.026,45.76,5.482,0,20,1,0.25,1
ID135692,135692,2300,49.701,66.069,15.846,0,20,1,0.25,1
ID140403,140403,2457,38.029,62.048,6.693,0,20,1,0.25,1
ID141482,141482,2493,35.987,59.049,22.689,0,20,1,0.25,1
ID143343,143343,2555,73.363,51.586,41.778,0,20,1,0.25,1
ID100047,100047,9,70.214,61.891,45.239,0,40,2,0.25,1
ID100140,100140,28,28.069,63.164,37.596,0,40,2,0.25,1
ID100182,100182,36,70.14,71.272,32.249,0,40,2,0.25,1
ID100211,100211,42,30.822,57.793,8.987,0,40,2,0.25,1
ID100400,100400,80,66.785,65.307,9.249,0,40,2,0.25,1
ID100572,100572,114,75.976,49.179,36.299,0,40,2,0.25,1
ID101169,101169,226,32.852,32.866,4.192,0,40,2,0.25,1
ID101176,101176,227,55.733,27.753,30.48,0,40,2,0.25,1
ID101246,101246,239,42.711,31.223,44.966,0,40,2,0.25,1
ID101608,101608,299,32.623,76.426,7.451,0,40,2,0.25,1
ID101722,101722,318,30.721,35.272,15.743,0,40,2,0.25,1
ID102041,102041,367,59.45,14.09,43.617,0,40,2,0.25,1
ID102161,102161,384,29.258,57.313,5.339,0,40,2,0.25,1
ID102495,102495,432,72.153,20.027,46.778,0,40,2,0.25,1
ID102545,102545,439,36.329,15.243,39.611,0,40,2,0.25,1
ID102607,102607,448,23.086,68.111,53.285,0,40,2,0.25,1
ID103406,103406,552,29.199,50.323,51.386,0,40,2,0.25,1
ID103534,103534,568,57.077,57.869,27.898,0,40,2,0.25,1
ID103653,103653,583,67.199,30.315,48.012,0,40,2,0.25,1
ID103828,103828,605,38.674,31.674,41.021,0,40,2,0.25,1
ID103889,103889,612,38.44,71.483,6.891,0,40,2,0.25,1
ID105117,105117,747,42.657,15.452,16.901,0,40,2,0.25,1
ID105858,105858,821,32.38,14.642,2.083,0,40,2,0.25,1
ID105947,105947,830,64.91,29.303,53.474,0,40,2,0.25,1
ID105968,105968,832,73.5,49.255,54.194,0,40,2,0.25,1
ID106274,106274,862,27.605,78.916,9.053,0,40,2,0.25,1
ID106484,106484,881,31.609,74.527,25.47,0,40,2,0.25,1
ID106507,106507,883,45.923,20.726,3.442,0,40,2,0.25,1
ID107221,107221,948,34.767,19.894,46.682,0,40,2,0.25,1
ID107765,107765,994,57.942,54.286,2.218,0,40,2,0.25,1
ID108775,108775,1076,45.939,42.89,45.446,0,40,2,0.25,1
ID110012,110012,1170,33.935,48.391,10.936,0,40,2,0.25,1
ID110532,110532,1207,41.998,65.572,2.968,0,40,2,0.25,1
ID111908,111908,1301,65.044,72.429,2.273,0,40,2,0.25,1
ID113839,113839,1420,29.411,31.811,47.402,0,40,2,0.25,1
ID114298,114298,1447,45.831,19.329,30.585,0,40,2,0.25,1
ID115390,115390,1508,48.152,55.61,47.691,0,40,2,0.25,1
